seed,hgb_val_mse,hgb_val_mae,hgb_val_r2,hgb_test_mse,hgb_test_mae,hgb_test_r2,text_test_mse,text_test_mae,text_test_r2,test_mse_improvement,test_mae_improvement,beats_text_mse,beats_text_mae
0,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
1,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
2,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
3,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
4,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
5,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
6,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
7,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
8,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
9,1.0329771877837763,0.7566614636107093,0.5584066136385972,1.1474951295145535,0.819162014865823,0.4703733307644977,1.1626231478282465,0.8485828015115169,0.4633909900594836,0.015128018313693037,0.02942078664569392,True,True
