id,movie_title,y_true,y_text_pred,y_image_pred,y_ridge_fusion_pred,y_linear_fusion_pred,y_weighted_fusion_pred,y_hgb_fusion_pred,y_best_pred,text_error,fusion_error,image_help
rw1372211,Happy Times (2000),0.5,2.4473876656464544,3.4288559733229884,2.1543266635761564,2.154083299542516,2.4473876656464544,1.4981875616989069,1.4981875616989069,1.9473876656464544,0.9981875616989069,0.9492001039475475
rw4692587,Skyscraper (2018),1.0,2.420009338869152,3.4654134658669684,2.118035856450289,2.117778512093122,2.420009338869152,1.4721642233409449,1.4721642233409449,1.4200093388691521,0.4721642233409449,0.9478451155282073
rw3142088,Team Hot Wheels: The Origin of Awesome! (2014),0.5,2.168149246247078,3.432004703350538,1.7872066287834445,1.786892584697465,2.168149246247078,1.232360108281214,1.232360108281214,1.668149246247078,0.7323601082812139,0.935789137965864
rw1136874,Great (Isambard Kingdom Brunel) (1975),0.5,2.0784117784330918,3.4531190344652867,1.6690629275866795,1.6687222594714393,2.0784117784330918,1.201159500863596,1.201159500863596,1.5784117784330918,0.701159500863596,0.8772522775694958
rw2356040,The Walking Dead (2010– ),0.5,2.138332294158135,3.1695709386620665,1.7501514631324309,1.7498809807088702,2.138332294158135,1.320721456980389,1.320721456980389,1.6383322941581349,0.8207214569803889,0.817610837177746
rw6067243,Riverdale (2017– ),0.5,2.0593446379253435,3.068040645016582,1.6471412529118128,1.6468706982637116,2.0593446379253435,1.2459995927280791,1.2459995927280791,1.5593446379253435,0.7459995927280791,0.8133450451972644
rw6195756,Fatal Defense (2017 TV Movie),0.5,2.131369017292295,3.156753022259228,1.7411020218668247,1.7408322852787834,2.131369017292295,1.320721456980389,1.320721456980389,1.631369017292295,0.8207214569803889,0.8106475603119061
rw2498512,Gwan gai (2007),1.0,2.199129576173659,3.349176363660733,1.828610567678732,1.82832040743998,2.199129576173659,1.4127637676436238,1.4127637676436238,1.1991295761736591,0.41276376764362377,0.7863658085300353
rw5133615,Susan (II) (2018),0.5,1.9942688821298933,3.4664361243102526,1.5583376715513828,1.5579732997851177,1.9942688821298933,1.2092098914047318,1.2092098914047318,1.4942688821298933,0.7092098914047318,0.7850589907251615
rw1138532,Charlie and the Chocolate Factory (2005),0.5,1.5892050312226198,3.828377984733483,1.022874288438249,1.0223378786189596,1.5892050312226198,0.8055667517597268,0.8055667517597268,1.0892050312226198,0.3055667517597268,0.783638279462893
